Description,Price (Rs.),Rating,Review,URL
"Whirlpool 340 L 3 Star Inverter Frost-Free Double Door Refrigerator (INTELLIFRESH INV CNV 355 3S, German Steel, Convertible)","32,990",3.9 out of 5 stars,221,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01730562IQPLSHOR6VHY&url=%2FWhirlpool-Refrigerator-INV-CNV-355%2Fdp%2FB083JNJZ9Y%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Drefrigerator%26qid%3D1613575466%26sr%3D8-1-spons%26psc%3D1&qualifier=1613575465&id=6798005266573332&widgetName=sp_atf
"Haier 195 L 4 Star Direct Cool Single Door Refrigerator (HRD-1954PMG-F, Mirror Glass, Base drawer)","17,090",4.1 out of 5 stars,157,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A041847986E5MHGLBPL0&url=%2FHaier-Direct-Single-Refrigerator-HRD-1955PMG%2Fdp%2FB07Q75G16Y%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Drefrigerator%26qid%3D1613575466%26sr%3D8-2-spons%26psc%3D1&qualifier=1613575465&id=6798005266573332&widgetName=sp_atf
"Godrej 190 L 2 Star Direct-Cool Single Door Refrigerator (RD 1902 EW 23 STL WN, Steel Wine)","11,990",4.1 out of 5 stars,99,https://www.amazon.in/Godrej-Direct-Cool-Refrigerator-1902-STL/dp/B086191HJP/ref=sr_1_3?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-3
"Samsung 192 L 2 Star Direct Cool Single Door Refrigerator (RR19T241BSE/NL, Elective Silver)","11,990",4.2 out of 5 stars,426,https://www.amazon.in/Samsung-Refrigerator-RR19T241BSE-NL-Elective/dp/B083463ZP4/ref=sr_1_4?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-4
"Whirlpool 200 L 4 Star Inverter Direct-Cool Single Door Refrigerator (215 ICEMAGIC PRO ROY 4S INV, Sapphire Mulia, Base Stand)","17,240",4.1 out of 5 stars,136,https://www.amazon.in/Whirlpool-Refrigerator-215-ROY-INV/dp/B08CS3FKFY/ref=sr_1_5?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-5
"Whirlpool 190 L 3 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS 3S, Blue)","11,990",4.1 out of 5 stars,"3,251",https://www.amazon.in/Whirlpool-Refrigerator-WDE-205-CLS/dp/B083KVZQ7Z/ref=sr_1_6?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-6
"Haier 195 L 4 Star Direct-Cool Single-Door Refrigerator (HED- 20CFDS, Dazzle Steel)","13,799",4.1 out of 5 stars,"1,128",https://www.amazon.in/Haier-Direct-Cool-Single-Door-Refrigerator-20CFDS/dp/B084496YFG/ref=sr_1_7?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-7
"Godrej 190 L 5 Star Inverter Direct-Cool Single Door Refrigerator with Base Drawer (RD 1905 PTDI 53 JW BL, Jewel Blue)","16,790",4.2 out of 5 stars,365,https://www.amazon.in/Godrej-Direct-Cool-Refrigerator-1905-PTDI/dp/B089ZDNWW8/ref=sr_1_8?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-8
"Haier 181 L 2 Star Direct-Cool Single Door Refrigerator (HED-1812BKS-E, Black Brushline)","10,490",4.0 out of 5 stars,419,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HED-1812BKS-Brushline/dp/B08448V646/ref=sr_1_9?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-9
"Samsung 198 L 5 Star Inverter Direct Cool Single Door Refrigerator(RR21T2H2WCU/HL, Camellia Blue, Base Stand with Drawer)","17,790",4.3 out of 5 stars,600,https://www.amazon.in/Samsung-Inverter-Refrigerator-RR21T2H2WCU-HL/dp/B08345J6G3/ref=sr_1_10?dchild=1&keywords=refrigerator&qid=1613575466&sr=8-10
